"Agent1","Agent2","Agent3","Agent4","Agent5","Agent6","Agent7","Aent8"
1,1,1,1,1,1,1,1
2,1,1,6,1,1,6,1
3,3,4,4,1,1,1,1
4,4,1,4,1,1,1,1
5,5,6,1,1,1,1,1
6,5,5,1,1,1,1,1
7,8,7,1,1,1,1,1
8,8,8,8,8,1,1,1
